trial_num,dictator,disrupted,p1get,p2get,p1get_ori,p2get_ori,score1,score2,score3,allocateRT,s1RT,s2RT,s3RT,answered_allocate,answered_s1,answered_s2,answered_s3
1,2,0,1,9,1,9,1,1,1,8381.9629,8393.3917,8387.7861,8398.4363,1,1,1,1
2,1,0,5,5,5,5,-1,4,5,8419.6541,8419.8481,8425.653,8425.1026,1,1,1,1
3,1,0,5,5,5,5,4,4,5,8451.4428,8454.8626,8455.6428,8459.0646,1,1,1,1
4,1,0,5,5,5,5,1,4,4,8483.9808,8488.2338,8488.405,8490.7143,1,1,1,1
5,2,-2,3,7,1,9,7,3,4,8511.6963,8523.045,8519.4197,8525.2231,1,1,1,1
6,2,-2,3,7,1,9,7,4,4,8546.7762,8553.3314,8553.1711,8558.2841,1,1,1,1
7,2,0,1,9,1,9,7,1,1,8576.868,8587.447,8582.6098,8590.8745,1,1,1,1
8,2,0,2,8,2,8,7,1,2,8610.0046,8621.3444,8617.3964,8625.4665,1,1,1,1
9,1,0,1,9,1,9,7,7,7,8648.5366,8650.0317,8653.0293,8653.9672,1,1,1,1
10,2,0,1,9,1,9,7,1,1,8677.0697,8685.3689,8680.6579,8690.2014,1,1,1,1
11,1,2,3,7,1,9,3,4,5,8711.5328,8715.6452,8718.1,8718.9674,1,1,1,1
12,2,0,1,9,1,9,7,1,1,8738.8005,8749.9563,8744.1902,8752.4235,1,1,1,1
13,2,0,1,9,1,9,7,1,1,8770.8852,8781.5683,8776.236,8784.7142,1,1,1,1
14,1,2,3,7,1,9,1,4,6,8808.422,8811.9637,8813.7884,8815.7616,1,1,1,1
15,2,-2,3,7,1,9,7,4,4,8835.6307,8847.9006,8844.2248,8850.6234,1,1,1,1
16,2,2,1,9,2,8,7,1,1,8870.2652,8879.8848,8874.9999,8884.2403,1,1,1,1
17,2,2,1,9,1,9,7,6,1,8900.3753,8911.7177,8907.3309,8914.51,1,1,1,1
18,2,0,1,9,1,9,7,3,1,8932.6958,8943.5469,8938.0651,8946.3656,1,1,1,1
19,1,-2,1,9,1,9,1,7,7,8970.6789,8973.5192,8975.6632,8976.1231,1,1,1,1
20,2,-2,3,7,1,9,7,5,4,8998.856,9008.1853,9005.8456,9011.0324,1,1,1,1
21,1,-2,1,9,1,9,5,7,6,9034.9953,9038.9299,9039.1776,9044.4304,1,1,1,1
22,1,-2,1,9,1,9,4,1,7,9065.0393,9070.4584,9070.5207,9072.5559,1,1,1,1
23,1,-2,1,9,1,9,1,7,7,9097.6341,9101.7478,9103.3944,9105.6571,1,1,1,1
24,1,2,3,7,1,9,5,5,5,0,9133.7798,9137.2945,9136.7202,0,1,1,1
25,1,2,9,1,9,1,1,1,1,9162.8085,9166.0026,9167.5027,9168.851,1,1,1,1
26,2,0,1,9,1,9,7,7,1,9192.3085,9201.2297,9198.199,9204.978,1,1,1,1
27,2,2,1,9,1,9,1,1,1,9223.0356,9233.5944,9229.713,9237.9235,1,1,1,1
28,2,0,1,9,1,9,1,6,1,9254.3985,9266.0999,9259.8634,9268.3807,1,1,1,1
29,1,0,8,2,8,2,7,7,3,9292.9023,9295.551,9297.3716,9298.5962,1,1,1,1
30,2,2,1,9,1,9,7,7,1,9319.0969,9330.162,9325.1996,9332.5235,1,1,1,1
31,1,0,5,5,5,5,1,4,5,9355.0962,9359.3664,9361.427,9362.3243,1,1,1,1
32,1,-2,3,7,5,5,6,4,7,9388.3352,9391.5458,9392.4574,9394.1021,1,1,1,1
33,1,0,5,5,5,5,4,4,5,9418.9728,9423.8591,9424.7528,9428.2226,1,1,1,1
34,1,0,6,4,6,4,1,4,3,9452.9689,9455.3233,9458.6239,9459.3259,1,1,1,1
35,2,0,1,9,1,9,7,1,1,9482.1135,9492.7497,9485.5304,9495.7911,1,1,1,1
36,2,0,1,9,1,9,7,5,1,9513.0194,9523.6844,9518.1173,9526.5744,1,1,1,1
37,2,-2,3,7,1,9,4,7,4,9546.2887,9557.4554,9551.0425,9559.6668,1,1,1,1
38,2,-2,3,7,1,9,5,7,5,9577.7028,9589.6024,9585.3041,9594.6092,1,1,1,1
39,1,0,5,5,5,5,-1,4,7,9615.2059,9615.3162,9620.0805,9620.3726,1,1,1,1
40,1,-2,3,7,5,5,5,4,6,9645.5462,9651.802,9651.9351,9654.6258,1,1,1,1
41,1,2,8,2,6,4,1,5,1,9679.4377,9682.4329,9685.5635,9685.8818,1,1,1,1
42,2,2,1,9,1,9,7,1,1,9706.1673,9717.2383,9715.1327,9720.0195,1,1,1,1
43,1,0,8,2,8,2,2,6,3,9743.738,9745.9375,9750.3245,9750.0162,1,1,1,1
44,2,-2,3,7,1,9,6,7,4,9772.8773,9781.3544,9779.1472,9784.3817,1,1,1,1
45,1,2,9,1,9,1,7,1,1,9808.1454,9812.7782,9814.2475,9815.8977,1,1,1,1
46,1,0,9,1,9,1,7,1,7,9838.8991,9842.8247,9844.2195,9845.8826,1,1,1,1
47,2,0,1,9,1,9,7,1,1,9867.288,9878.4315,9874.4453,9881.0516,1,1,1,1
48,1,0,9,1,9,1,6,1,1,9905.6907,9909.2017,9910.0046,9912.3381,1,1,1,1
49,1,0,1,9,1,9,1,7,7,9937.2062,9939.8368,9941.2882,9943.0997,1,1,1,1
50,2,0,1,9,1,9,7,1,1,9965.3225,9975.5938,9971.5126,9978.5436,1,1,1,1
51,1,0,9,1,9,1,7,1,3,10002.0209,10005.0952,10007.1111,10008.4527,1,1,1,1
52,2,2,1,9,1,9,7,5,1,10031.944,10039.2358,10038.0922,10042.6714,1,1,1,1
53,1,-2,7,3,9,1,5,1,7,10067.232,10069.5276,10072.141,10074.4902,1,1,1,1
54,2,2,1,9,1,9,7,1,1,10093.4308,10103.8627,10099.7388,10107.4678,1,1,1,1
55,2,2,1,9,1,9,7,1,1,10128.8467,10137.3217,10135.4153,10140.1363,1,1,1,1
56,1,2,9,1,9,1,1,1,-1,10163.6137,10168.9704,10167.8593,0,1,1,1,0
57,2,2,1,9,1,9,7,6,1,10191.0946,10201.9054,10198.3781,10204.9615,1,1,1,1
58,1,2,9,1,8,2,1,1,1,10229.7294,10232.0711,10234.7463,10234.7066,1,1,1,1
59,1,0,8,2,8,2,7,1,2,10261.228,10263.3265,10267.2629,10266.8435,1,1,1,1
60,1,0,8,2,8,2,6,2,1,10292.8178,10297.8409,10296.9076,10300.0267,1,1,1,1
61,2,0,1,9,1,9,1,1,1,10321.0009,10330.0488,10326.6046,10333.8199,1,1,1,1
62,1,0,8,2,8,2,1,2,4,10358.816,10361.4184,10362.1822,10364.2685,1,1,1,1
63,2,2,1,9,1,9,7,1,1,10385.4524,10398.0198,10390.945,10400.1175,1,1,1,1
64,2,0,1,9,1,9,7,7,1,10417.1421,10427.6569,10422.5657,10431.0271,1,1,1,1
65,1,-2,1,9,3,7,7,1,7,10455.2289,10456.9745,10460.8483,10460.328,1,1,1,1
66,2,0,1,9,1,9,7,5,1,10481.3298,10492.0013,10488.6354,10495.3631,1,1,1,1
67,2,-2,3,7,1,9,4,3,-1,10513.5828,10526.2456,10521.7058,10526.8748,1,1,1,1
68,1,0,5,5,5,5,4,4,3,10551.7191,10553.1844,10556.6829,10557.4983,1,1,1,1
69,1,-2,3,7,5,5,5,4,4,10584.343,10585.7965,10587.275,10591.0116,1,1,1,1
70,2,0,1,9,1,9,7,1,1,10612.9612,10621.2827,10618.0191,10624.5456,1,1,1,1
71,2,0,1,9,1,9,1,7,1,10642.8202,10653.7075,10650.2495,10656.8069,1,1,1,1
72,1,2,9,1,9,1,7,-1,1,10680.9472,10683.7107,0,10686.1539,1,1,0,1
73,2,0,1,9,1,9,7,3,1,10707.0648,10717.0285,10714.5652,10720.4176,1,1,1,1
74,2,-2,3,7,1,9,4,4,4,10738.9665,10749.5566,10746.5161,10752.6189,1,1,1,1
75,1,0,5,5,5,5,4,4,5,10775.9752,10778.2325,10779.8463,10783.5846,1,1,1,1
76,1,-2,7,3,9,1,1,4,2,10807.2262,10810.3672,10813.5227,10813.561,1,1,1,1
77,1,0,9,1,9,1,7,1,7,10840.5788,10842.2145,10845.9961,10845.7812,1,1,1,1
78,1,2,7,3,5,5,5,4,4,10871.8119,10874.9702,10877.5507,10877.8493,1,1,1,1
79,2,0,1,9,1,9,7,3,1,10899.2266,10909.8467,10907.5561,10912.8065,1,1,1,1
80,2,-2,3,7,1,9,5,4,4,10930.7835,10941.8955,10938.2782,10944.9848,1,1,1,1
