trial_num,dictator,disrupted,p1get,p2get,p1get_ori,p2get_ori,score1,score2,score3,allocateRT,s1RT,s2RT,s3RT,answered_allocate,answered_s1,answered_s2,answered_s3
1,2,0,1,9,1,9,3,1,1,8391.7953,8396.9712,8397.9806,8401.5289,1,1,1,1
2,2,-2,3,7,1,9,7,1,5,8425.622,8431.8874,8430.3662,8435.377,1,1,1,1
3,2,2,1,9,1,9,7,1,1,8457.958,8463.8886,8464.4736,8465.732,1,1,1,1
4,2,2,1,9,1,9,2,1,2,8490.3471,8496.4034,8495.0586,8498.6229,1,1,1,1
5,2,0,1,9,1,9,4,1,2,8522.4065,8526.8748,8528.2609,8530.7303,1,1,1,1
6,2,0,1,9,1,9,3,1,4,8554.9051,8560.288,8561.1523,8564.2629,1,1,1,1
7,2,0,9,1,9,1,5,7,7,8590.0756,8593.393,8593.8925,8598.5658,1,1,1,1
8,1,-2,7,3,9,1,1,2,1,8620.4156,8631.0678,8625.2989,8632.89,1,1,1,1
9,2,-2,3,7,1,9,1,1,2,8654.1383,8658.885,8659.8372,8663.3423,1,1,1,1
10,1,0,9,1,9,1,1,2,1,8685.1624,8696.2047,8692.4038,8700.4091,1,1,1,1
11,1,0,5,5,5,5,1,6,3,8717.9113,8729.3312,8724.398,8734.075,1,1,1,1
12,2,0,1,9,1,9,7,1,3,8749.86,8755.5015,8756.5491,8761.4173,1,1,1,1
13,2,-2,3,7,1,9,5,1,3,8781.9572,8788.2398,8791.5891,8793.3478,1,1,1,1
14,1,-2,7,3,9,1,1,2,1,8813.9629,8824.8829,0,8827.6487,1,1,0,1
15,2,0,1,9,1,9,-1,1,2,8848.0249,8850.4357,8855.1064,8856.7283,1,1,1,1
16,1,2,9,1,9,1,1,3,1,8877.9515,8889.1031,8885.4449,8894.1592,1,1,1,1
17,1,0,1,9,1,9,7,1,7,0,8924.3605,8918.1039,8929.3442,0,1,1,1
18,1,-2,7,3,9,1,1,3,1,8943.2517,8955.5999,8951.5406,8958.1798,1,1,1,1
19,2,0,9,1,9,1,2,7,7,8980.8195,8984.3097,8986.2641,8987.4302,1,1,1,1
20,1,0,2,8,2,8,7,6,7,9009.1396,9022.103,9016.4445,9025.0218,1,1,1,1
21,1,0,9,1,9,1,1,2,1,9041.4989,9052.6928,9051.3752,9055.707,1,1,1,1
22,1,0,9,1,9,1,1,4,-1,9075.19,9085.6605,9081.8287,0,1,1,1,0
23,1,-2,7,3,9,1,-1,4,1,9105.533,9114.8722,9112.9511,9121.5929,1,1,1,1
24,1,0,1,9,1,9,7,7,7,9138.6966,9150.7113,9147.336,9153.7083,1,1,1,1
25,2,0,1,9,1,9,7,1,2,9172.8253,9177.6656,9179.3116,9181.3841,1,1,1,1
26,1,2,9,1,9,1,1,2,1,9203.678,9215.79,9211.3137,9219.0577,1,1,1,1
27,2,2,1,9,1,9,5,1,2,9238.759,9243.7205,9244.3023,9246.6173,1,1,1,1
28,2,-2,3,7,1,9,5,1,7,9270.8999,9275.0193,9278.0328,9279.448,1,1,1,1
29,2,-2,3,7,1,9,1,1,3,9302.7853,9307.2757,9308.9201,9312.1717,1,1,1,1
30,1,-2,1,9,2,8,7,-1,7,9333.1117,9345.5621,9341.2015,9348.6904,1,1,1,1
31,1,0,9,1,9,1,1,5,1,9366.5527,9377.9663,9373.6751,9381.3183,1,1,1,1
32,1,0,9,1,9,1,1,2,1,9399.5892,9410.0376,9406.4467,9414.2726,1,1,1,1
33,2,2,1,9,1,9,1,1,2,9432.977,9437.4452,9440.0872,9444.1768,1,1,1,1
34,2,0,1,9,1,9,-1,1,4,9466.2096,9468.3094,9472.8376,9474.443,1,1,1,1
35,1,2,9,1,9,1,1,1,1,9496.5613,9506.6181,9504.4357,9510.4771,1,1,1,1
36,2,0,1,9,1,9,4,1,-1,9530.9569,9535.0091,9537.3644,9538.1579,1,1,1,1
37,2,-2,3,7,1,9,4,1,1,9562.3456,9567.3607,9568.7378,9571.4814,1,1,1,1
38,1,0,9,1,9,1,1,4,1,9596.1319,9605.2185,9602.9898,9609.3474,1,1,1,1
39,1,2,9,1,9,1,1,1,1,9626.8343,9638.4056,9636.7787,9642.5699,1,1,1,1
