trials,p1choice,p1guess,p2choice,p2guess,realSum,p1IsRight,p2IsRight,winner,p1score,p2score
1,2,5,2,4,4,0,1,2,0,1
2,3,6,3,6,6,1,1,0,0,1
3,1,4,2,4,3,0,0,0,0,1
4,1,4,1,3,2,0,0,0,0,1
5,1,4,1,3,2,0,0,0,0,1
6,1,4,3,5,4,1,0,1,1,1
7,2,5,2,4,4,0,1,2,1,2
8,3,5,1,3,4,0,0,0,1,2
9,1,2,3,5,4,0,0,0,1,2
10,3,5,3,6,6,0,1,2,1,3
11,3,5,1,2,4,0,0,0,1,3
12,2,5,3,6,5,1,0,1,2,3
13,3,0,1,4,4,0,1,2,2,4
14,1,2,2,3,3,0,1,2,2,5
15,2,5,1,4,3,0,0,0,2,5
16,3,4,1,3,4,1,0,1,3,5
17,1,4,1,2,2,0,1,2,3,6
18,2,4,2,5,4,1,0,1,4,6
19,3,6,3,4,6,1,0,1,5,6
20,2,5,3,6,5,1,0,1,6,6
21,2,4,2,3,4,1,0,1,7,6
22,3,4,2,4,5,0,0,0,7,6
23,3,6,3,4,6,1,0,1,8,6
24,1,3,1,3,2,0,0,0,8,6
25,1,3,0,5,0,0,0,1,9,6
26,1,2,3,6,4,0,0,0,9,6
27,3,4,1,4,4,1,1,0,9,6
28,3,6,3,6,6,1,1,0,9,6
29,3,4,3,6,6,0,1,2,9,7
30,3,5,3,6,6,0,1,2,9,8
31,3,5,2,5,5,1,1,0,9,8
32,3,6,1,2,4,0,0,0,9,8
33,2,5,3,5,5,1,1,0,9,8
34,3,6,1,3,4,0,0,0,9,8
35,1,4,3,4,4,1,1,0,9,8
36,2,4,3,6,5,0,0,0,9,8
37,2,4,2,5,4,1,0,1,10,8
38,1,3,3,6,4,0,0,0,10,8
39,2,4,3,4,5,0,0,0,10,8
40,3,6,3,6,6,1,1,0,10,8
41,3,6,1,4,4,0,1,2,10,9
42,3,4,3,4,6,0,0,0,10,9
43,1,4,2,4,3,0,0,0,10,9
44,1,2,3,5,4,0,0,0,10,9
45,1,3,3,6,4,0,0,0,10,9
