trial_num,dictator,disrupted,p1get,p2get,p1get_ori,p2get_ori,score1,score2,score3,allocateRT,s1RT,s2RT,s3RT,answered_allocate,answered_s1,answered_s2,answered_s3
1,2,0,2,8,2,8,1,2,2,8208.8264,8176.2938,8213.9953,8180.3099,1,1,1,1
2,2,-2,4,6,2,8,3,1,3,8236.0523,8203.9638,8242.4015,8208.5221,1,1,1,1
3,2,2,1,9,1,9,1,1,1,8265.2619,8233.0376,8270.7672,8236.5982,1,1,1,1
4,2,2,1,9,1,9,2,2,1,8294.0334,8261.0857,8299.0545,8264.2196,1,1,1,1
5,2,0,5,5,5,5,3,5,4,8322.4164,8290.3355,8327.4254,8293.3775,1,1,1,1
6,2,0,2,8,2,8,-1,2,3,8347.9477,8313.499,8353.9525,8320.7819,1,1,1,1
7,2,0,6,4,6,4,-1,6,5,8376.19,8341.1819,8381.3537,8349.6038,1,1,1,1
8,1,-2,7,3,9,1,1,1,2,8367.3708,8411.5554,8371.0175,8415.7356,1,1,1,1
9,2,-2,3,7,1,9,2,4,1,8430.8671,8400.0822,0,8404.666,1,1,0,1
10,1,0,7,3,7,3,1,4,2,8422.4585,8467.1341,8427.593,8471.0307,1,1,1,1
11,1,0,5,5,5,5,1,4,4,8447.9263,8493.6563,8455.7271,8499.051,1,1,1,1
12,2,0,2,8,2,8,1,1,2,8515.003,8484.4993,8520.6203,8487.8286,1,1,1,1
13,2,-2,3,7,1,9,2,2,2,8542.8877,8512.1318,8549.7791,8515.1906,1,1,1,1
14,1,-2,4,6,6,4,4,5,5,8535.4838,8579.0254,8539.9778,8584.489,1,1,1,1
15,2,0,2,8,2,8,2,2,1,8599.0195,8567.636,8606.1252,8570.412,1,1,1,1
16,1,2,3,7,1,9,5,2,6,8590.4345,8635.7446,8595.1445,8640.5647,1,1,1,1
17,1,0,6,4,6,4,1,3,3,8615.6124,8662.8873,8623.3186,8666.0083,1,1,1,1
18,1,-2,1,9,2,8,6,7,7,8644.8136,8691.2804,8651.6964,8694.8167,1,1,1,1
19,2,0,1,9,1,9,1,3,1,8710.6218,8679.573,8716.9547,8683.6753,1,1,1,1
20,1,0,3,7,3,7,2,5,6,8700.4628,8745.8511,8707.909,8750.548,1,1,1,1
21,1,0,6,4,6,4,1,3,3,8729.6069,8773.6981,8733.9746,8777.5649,1,1,1,1
22,1,0,1,9,1,9,5,7,7,8757.4726,8802.5745,8763.2291,8805.8115,1,1,1,1
23,1,-2,1,9,3,7,4,7,7,8783.8035,8830.6526,8790.937,8834.3259,1,1,1,1
24,1,0,8,2,8,2,2,1,1,8812.9719,8858.6082,8819.0739,8862.9061,1,1,1,1
25,2,0,3,7,3,7,3,2,2,8879.1759,8847.1296,8884.2692,8851.9458,1,1,1,1
26,1,2,9,1,8,2,3,1,2,8870.2001,8915.2066,8875.1624,8918.3428,1,1,1,1
