trial_num,dictator,disrupted,p1get,p2get,p1get_ori,p2get_ori,score1,score2,score3,allocateRT,s1RT,s2RT,s3RT,answered_allocate,answered_s1,answered_s2,answered_s3
1,2,0,1,9,1,9,2,1,1,8348.199,8358.5503,8354.5885,8360.8873,1,1,1,1
2,1,2,9,1,8,2,1,1,1,8379.7416,8383.5456,8386.0103,8387.8457,1,1,1,1
3,1,2,9,1,7,3,1,2,1,8406.4693,8411.4184,8414.4735,8414.9261,1,1,1,1
4,2,-2,3,7,1,9,2,3,-1,8432.0876,8442.621,8440.3835,0,1,1,1,0
5,2,-2,3,7,1,9,2,1,2,8461.4515,8470.7291,8466.4361,8474.0681,1,1,1,1
6,2,0,1,9,1,9,1,-1,-1,8489.0886,8498.215,0,0,1,1,0,0
7,1,2,9,1,7,3,1,2,1,8520.8483,8523.9469,8526.7356,8528.0821,1,1,1,1
8,1,0,9,1,9,1,1,1,1,8548.2199,8552.08,8552.7896,8556.1616,1,1,1,1
9,2,0,1,9,1,9,2,1,1,8573.4722,8583.6423,8578.841,8586.1405,1,1,1,1
10,1,0,9,1,9,1,1,2,1,8604.1755,8608.2487,8611.2526,8612.8553,1,1,1,1
11,1,0,7,3,7,3,1,3,1,8633.12,8636.9445,8637.5835,8640.6819,1,1,1,1
12,2,0,1,9,1,9,7,1,2,8657.9261,8666.8689,8664.4184,8671.3792,1,1,1,1
13,1,0,8,2,8,2,1,3,1,8689.7195,8692.6709,8695.7606,8697.3766,1,1,1,1
14,2,0,1,9,1,9,5,1,1,8714.4316,8722.894,8720.1171,8728.3415,1,1,1,1
15,1,-2,3,7,5,5,1,3,7,8745.1099,8748.7887,8751.7273,8755.4991,1,1,1,1
16,2,2,1,9,1,9,6,-1,2,8773.0759,8779.0141,0,8783.8737,1,1,0,1
17,1,0,9,1,9,1,1,1,1,8802.0039,8806.0177,8807.4916,8810.1419,1,1,1,1
18,2,0,1,9,1,9,7,1,2,8827.2128,8838.1519,8832.4698,8840.7136,1,1,1,1
19,2,2,1,9,1,9,5,1,1,8856.2381,8864.1253,8860.9057,8867.9313,1,1,1,1
20,2,2,1,9,1,9,5,1,2,8883.0455,8893.3461,8888.4995,8896.2651,1,1,1,1
21,1,0,8,2,8,2,1,2,1,8913.6462,8917.1505,8920.8293,8922.4418,1,1,1,1
22,1,0,7,3,7,3,1,3,1,8942.6966,8945.6084,8947.9547,8950.3972,1,1,1,1
23,1,0,9,1,9,1,1,1,1,8970.8079,8973.581,8975.6709,8978.4921,1,1,1,1
24,2,0,1,9,1,9,7,1,1,8995.698,9004.3975,9001.1694,9008.9866,1,1,1,1
25,1,-2,7,3,9,1,1,1,1,9027.6728,9030.4585,9033.3377,9034.7752,1,1,1,1
26,2,-2,3,7,1,9,3,1,3,9051.8623,9062.5296,9058.3615,9065.5221,1,1,1,1
27,2,0,1,9,1,9,5,1,1,9080.02,9088.5669,9085.6027,9093.7372,1,1,1,1
28,1,2,9,1,8,2,1,2,1,9111.4011,9114.4684,9118.6897,9119.2286,1,1,1,1
29,2,0,1,9,1,9,3,1,2,9136.6821,9146.9268,9141.9125,9149.4469,1,1,1,1
30,1,0,7,3,7,3,1,4,1,9168.402,9171.5128,9174.4782,9176.5192,1,1,1,1
31,2,2,1,9,1,9,6,1,1,9194.0981,9201.1607,9198.5714,9207.6493,1,1,1,1
32,2,2,1,9,1,9,3,1,3,9221.8214,9231.0002,9227.1043,9234.3232,1,1,1,1
33,2,-2,3,7,1,9,4,1,3,9250.7877,9261.1108,9256.489,9264.6955,1,1,1,1
34,1,2,8,2,6,4,1,3,1,9283.0503,9287.1408,9289.3998,9290.7243,1,1,1,1
35,1,2,9,1,9,1,1,5,1,9309.935,9313.7401,9317.3372,9318.0752,1,1,1,1
36,1,-2,5,5,7,3,4,3,4,9338.3869,9343.4227,9344.9302,9346.6108,1,1,1,1
37,2,0,1,9,1,9,6,1,4,9363.41,9374.2298,9368.8492,9378.0819,1,1,1,1
38,2,0,1,9,1,9,2,1,1,9392.1647,9400.5697,9397.8714,9405.9786,1,1,1,1
39,2,2,1,9,1,9,5,1,3,9420.6546,9431.8865,9426.4446,9435.2065,1,1,1,1
40,1,-2,7,3,9,1,1,2,1,9452.7509,9455.5583,9459.2493,9460.2744,1,1,1,1
41,1,0,8,2,8,2,1,3,1,9480.4502,9484.1389,9488.0864,9489.1563,1,1,1,1
42,1,0,9,1,9,1,1,1,1,9510.5421,9512.8334,9515.9033,9516.8198,1,1,1,1
43,2,0,1,9,1,9,6,1,1,9534.7223,9541.7904,9539.4328,9549.4695,1,1,1,1
44,2,-2,3,7,1,9,4,1,2,9562.9784,9572.8524,9568.0926,9577.3952,1,1,1,1
45,1,0,7,3,7,3,1,3,1,9593.3479,9596.7769,9599.0384,9601.1231,1,1,1,1
46,2,-2,3,7,1,9,4,1,2,9618.4622,9629.1266,9624.147,9633.9422,1,1,1,1
47,2,-2,3,7,1,9,1,1,3,9646.8532,9656.9658,9652.9632,9662.266,1,1,1,1
48,2,0,1,9,1,9,4,1,1,9675.2215,9685.6546,9680.9947,9688.2848,1,1,1,1
49,2,2,1,9,1,9,7,1,2,9703.0345,9713.657,9708.6812,9716.3254,1,1,1,1
50,1,0,8,2,8,2,1,2,1,9736.3634,9737.3252,9740.1314,9742.356,1,1,1,1
51,2,0,1,9,1,9,4,1,3,9759.323,9769.0414,9765.1863,9773.9034,1,1,1,1
52,2,2,1,9,1,9,6,1,4,9787.0374,9797.736,9792.5465,9800.4508,1,1,1,1
53,1,-2,7,3,9,1,1,2,1,9817.9554,9821.7486,9825.5954,9826.5913,1,1,1,1
54,2,0,1,9,1,9,5,1,5,9844.1596,9853.4522,9849.4751,9857.3574,1,1,1,1
55,1,-2,7,3,9,1,1,6,1,9875.1733,9878.3434,9881.6119,9883.2782,1,1,1,1
56,1,-2,6,4,8,2,1,3,1,9903.1039,9907.651,9910.2465,9913.6888,1,1,1,1
57,2,0,1,9,1,9,5,1,4,9928.3152,9939.2005,9934.1866,9943.8567,1,1,1,1
58,1,2,9,1,9,1,1,4,1,9961.348,9963.0582,9967.09,9967.4455,1,1,1,1
59,1,0,6,4,6,4,1,4,4,9989.8294,9992.1027,9994.1802,9997.9164,1,1,1,1
60,1,-2,6,4,8,2,1,2,4,10016.1819,10020.3228,10020.5761,10024.1217,1,1,1,1
61,2,0,1,9,1,9,7,1,2,10041.8679,10050.9727,10047.1324,10056.6223,1,1,1,1
62,1,0,9,1,9,1,1,7,1,10072.728,10075.042,10078.2321,10079.757,1,1,1,1
63,2,-2,3,7,1,9,5,1,3,10097.0268,10107.6614,10102.5587,10111.5044,1,1,1,1
64,1,-2,6,4,8,2,1,4,4,10128.281,10131.0982,10135.5975,10137.2196,1,1,1,1
65,2,-2,3,7,1,9,4,1,3,10153.7891,10163.916,10159.2756,10166.2197,1,1,1,1
66,1,2,9,1,8,2,1,3,1,10184.86,10186.7416,10191.0954,10192.0168,1,1,1,1
67,2,0,1,9,1,9,5,1,1,10209.9516,10219.6705,10214.7159,10222.5145,1,1,1,1
68,2,0,1,9,1,9,7,1,2,10236.9996,10248.4142,10242.8748,10251.1706,1,1,1,1
69,1,-2,7,3,9,1,1,6,1,10268.3706,10271.4477,10274.501,10276.385,1,1,1,1
70,1,0,9,1,9,1,1,5,1,10296.1366,10299.9322,10302.0236,10304.8421,1,1,1,1
71,1,2,9,1,8,2,1,2,-1,10325.6694,10328.1053,10332.4357,0,1,1,1,0
72,2,2,1,9,1,9,7,1,7,10352.5159,10359.3431,10355.0897,10363.6833,1,1,1,1
73,1,0,8,2,8,2,1,5,1,10381.3625,10384.278,10388.4043,10388.8149,1,1,1,1
74,1,0,9,1,9,1,1,6,1,10410.5967,10412.3777,10416.2009,10417.2685,1,1,1,1
75,2,-2,3,7,1,9,6,1,3,10434.7138,10445.1666,10439.7239,10449.519,1,1,1,1
76,2,2,1,9,1,9,5,1,6,10462.3532,10472.2319,10468.1881,10475.452,1,1,1,1
77,2,0,1,9,1,9,2,1,1,10491.0935,10501.2503,10496.3823,10505.8196,1,1,1,1
78,1,2,9,1,7,3,1,3,1,10522.6595,10525.8992,10530.6419,10530.2447,1,1,1,1
79,1,0,9,1,9,1,1,5,1,10550.8348,10554.8657,10557.7508,10558.7242,1,1,1,1
80,1,0,8,2,8,2,1,5,1,10580.7289,10582.124,10585.4946,10586.799,1,1,1,1
