trials,p1choice,p1guess,p2choice,p2guess,realSum,p1IsRight,p2IsRight,winner,p1score,p2score
1,1,3,3,6,4,0,0,0,0,0
2,2,4,3,6,5,0,0,0,0,0
3,3,6,3,6,6,1,1,0,0,0
4,1,4,1,4,2,0,0,0,0,0
5,3,5,1,4,4,0,1,2,0,1
6,1,4,3,5,4,1,0,1,1,1
7,2,5,3,5,5,1,1,0,1,1
8,3,4,1,4,4,1,1,0,1,1
9,1,3,3,6,4,0,0,0,1,1
10,1,4,2,4,3,0,0,0,1,1
11,2,5,3,4,5,1,0,1,2,1
12,3,5,1,3,4,0,0,0,2,1
13,1,3,1,4,2,0,0,0,2,1
14,2,4,1,4,3,0,0,0,2,1
15,1,4,1,3,2,0,0,0,2,1
16,1,2,3,4,4,0,1,2,2,2
17,2,3,1,3,3,1,1,0,2,2
18,3,6,3,6,6,1,1,0,2,2
19,1,4,3,5,4,1,0,1,3,2
20,3,4,3,4,6,0,0,0,3,2
21,1,4,3,6,4,1,0,1,4,2
22,2,3,3,4,5,0,0,0,4,2
23,3,6,2,3,5,0,0,0,4,2
24,3,4,3,6,6,0,1,2,4,3
25,1,4,1,2,2,0,1,2,4,4
26,1,3,3,5,4,0,0,0,4,4
27,1,4,2,4,3,0,0,0,4,4
28,1,4,2,3,3,0,1,2,4,5
29,2,5,3,5,5,1,1,0,4,5
30,3,6,3,4,6,1,0,1,5,5
31,3,4,3,6,6,0,1,2,5,6
32,1,2,1,4,2,1,0,1,6,6
33,3,5,1,2,4,0,0,0,6,6
34,1,3,3,5,4,0,0,0,6,6
35,2,5,2,4,4,0,1,2,6,7
36,2,5,2,5,4,0,0,0,6,7
37,2,5,1,4,3,0,0,0,6,7
38,1,4,2,4,3,0,0,0,6,7
39,3,6,2,3,5,0,0,0,6,7
40,1,4,2,5,3,0,0,0,6,7
41,1,4,1,2,2,0,1,2,6,8
42,2,5,2,5,4,0,0,0,6,8
43,3,4,1,2,4,1,0,1,7,8
44,3,6,2,5,5,0,1,2,7,9
45,3,5,3,5,6,0,0,0,7,9
