trial_num,dictator,disrupted,p1get,p2get,p1get_ori,p2get_ori,score1,score2,score3,allocateRT,s1RT,s2RT,s3RT,answered_allocate,answered_s1,answered_s2,answered_s3
63,2,0,1,9,1,9,1,1,1,10080.7925,10090.748,10084.6774,10094.7697,1,1,1,1
64,1,2,3,7,1,9,6,5,6,10112.7251,10114.9099,10118.5556,10117.4498,1,1,1,1
65,2,0,1,9,1,9,1,1,1,10133.2269,10145.7651,10139.5374,10149.7739,1,1,1,1
66,2,-2,3,7,1,9,4,2,3,10163.3929,10175.1772,10168.7473,10179.3326,1,1,1,1
67,1,-2,1,9,2,8,7,7,7,10194.6369,10197.6758,10201.2113,10199.6506,1,1,1,1
68,1,2,3,7,1,9,6,5,6,10222.1514,10224.9463,10228.5377,10227.2138,1,1,1,1
69,2,0,1,9,1,9,1,1,2,10244.9335,10255.8687,10250.228,10259.6512,1,1,1,1
70,2,0,1,9,1,9,1,1,1,10272.7525,10282.8316,10277.7544,10287.137,1,1,1,1
71,2,0,1,9,1,9,1,1,1,10298.7606,10311.4286,10304.2877,10315.0155,1,1,1,1
72,1,2,3,7,1,9,6,5,6,10333.3867,10333.7083,10338.5284,10337.3693,1,1,1,1
73,2,0,2,8,2,8,-1,2,1,10355.1273,10364.1412,10361.5938,10370.0758,1,1,1,1
74,2,-2,3,7,1,9,3,2,2,10383.249,10395.5666,10388.0407,10399.523,1,1,1,1
75,1,0,1,9,1,9,7,7,7,10415.4763,10415.9618,10420.1306,10419.6386,1,1,1,1
76,1,-2,1,9,1,9,7,7,-1,10442.9325,10444.2812,10447.963,0,1,1,1,0
77,1,0,9,1,9,1,1,1,1,10470.8446,10470.2428,10475.4192,10475.1172,1,1,1,1
78,1,2,9,1,8,2,1,2,1,10496.0426,10497.5417,10501.5577,10501.9107,1,1,1,1
79,2,-2,3,7,1,9,1,2,2,10518.7585,10531.6885,10525.2492,10535.0613,1,1,1,1
80,2,-2,4,6,2,8,5,4,4,10546.1924,10558.5418,10553.9477,10562.338,1,1,1,1
