trials,p1choice,p1guess,p2choice,p2guess,realSum,p1IsRight,p2IsRight,winner,p1score,p2score
1,2,4,2,5,4,1,0,1,1,0
2,2,4,3,5,5,0,1,2,1,1
3,2,3,1,4,3,1,0,1,2,1
4,2,4,2,4,4,1,1,0,2,1
5,2,5,2,5,4,0,0,0,2,1
6,2,4,3,5,5,0,1,2,2,2
7,2,3,3,5,5,0,1,2,2,3
8,2,5,2,5,4,0,0,0,2,3
9,2,5,2,4,4,0,1,2,2,4
10,2,4,1,3,3,0,1,2,2,5
11,2,5,1,3,3,0,1,2,2,6
12,2,4,2,4,4,1,1,0,2,6
13,2,5,2,4,4,0,1,2,2,7
14,2,4,3,5,5,0,1,2,2,8
15,2,4,3,5,5,0,1,2,2,9
16,2,5,3,5,5,1,1,0,2,9
17,3,6,3,5,6,1,0,1,3,9
18,3,6,2,5,5,0,1,2,3,10
19,2,4,2,5,4,1,0,1,4,10
20,1,2,1,3,2,1,0,1,5,10
21,3,6,1,3,4,0,0,0,5,10
22,1,2,3,5,4,0,0,0,5,10
23,3,5,1,3,4,0,0,0,5,10
24,1,2,2,4,3,0,0,0,5,10
25,3,6,3,4,6,1,0,1,6,10
26,1,2,2,5,3,0,0,0,6,10
27,1,2,1,2,2,1,1,0,6,10
28,1,4,3,5,4,1,0,1,7,10
29,1,3,2,4,3,1,0,1,8,10
30,1,2,3,6,4,0,0,0,8,10
31,3,4,2,4,5,0,0,0,8,10
32,3,5,1,4,4,0,1,2,8,11
33,3,4,3,5,6,0,0,0,8,11
34,3,6,3,6,6,1,1,0,8,11
35,3,6,2,4,5,0,0,0,8,11
36,3,4,3,5,6,0,0,0,8,11
37,1,4,3,5,4,1,0,1,9,11
38,1,3,2,3,3,1,1,0,9,11
39,2,4,3,4,5,0,0,0,9,11
40,2,4,3,5,5,0,1,2,9,12
41,2,5,2,5,4,0,0,0,9,12
42,3,6,2,5,5,0,1,2,9,13
43,3,5,1,3,4,0,0,0,9,13
44,3,5,1,2,4,0,0,0,9,13
45,1,4,3,5,4,1,0,1,10,13
