trials,p1choice,p1guess,p2choice,p2guess,realSum,p1IsRight,p2IsRight,winner,p1score,p2score
1,1,0,1,3,2,0,0,0,0,0
2,2,4,3,5,5,0,1,2,0,1
3,2,4,2,4,4,1,1,0,0,1
4,3,5,1,4,4,0,1,2,0,2
5,1,0,1,4,2,0,0,0,0,2
6,3,5,2,5,5,1,1,0,0,2
7,2,5,3,5,5,1,1,0,0,2
8,3,6,3,5,6,1,0,1,1,2
9,2,4,3,6,5,0,0,0,1,2
10,1,0,1,4,2,0,0,0,1,2
11,3,5,3,5,6,0,0,0,1,2
12,3,6,3,5,6,1,0,1,2,2
13,2,5,1,4,3,0,0,0,2,2
14,2,3,1,4,3,1,0,1,3,2
15,2,5,2,4,4,0,1,2,3,3
16,2,3,2,3,4,0,0,0,3,3
17,3,5,1,3,4,0,0,0,3,3
18,1,3,3,6,4,0,0,0,3,3
19,3,5,2,4,5,1,0,1,4,3
20,1,2,3,5,4,0,0,0,4,3
21,2,4,1,4,3,0,0,0,4,3
22,1,2,1,3,2,1,0,1,5,3
23,3,6,2,4,5,0,0,0,5,3
24,1,4,3,6,4,1,0,1,6,3
25,2,4,1,2,3,0,0,0,6,3
26,3,5,3,5,6,0,0,0,6,3
27,2,4,3,5,5,0,1,2,6,4
28,1,4,1,3,2,0,0,0,6,4
29,1,4,3,4,4,1,1,0,6,4
30,1,3,2,3,3,1,1,0,6,4
31,3,5,3,5,6,0,0,0,6,4
32,2,5,1,2,3,0,0,0,6,4
33,3,6,0,5,0,0,0,1,7,4
34,1,4,2,4,3,0,0,0,7,4
35,3,5,3,5,6,0,0,0,7,4
36,2,5,2,4,4,0,1,2,7,5
37,3,5,3,4,6,0,0,0,7,5
38,3,5,2,3,5,1,0,1,8,5
39,1,4,3,6,4,1,0,1,9,5
40,1,3,2,5,3,1,0,1,10,5
41,2,0,2,5,4,0,0,0,10,5
42,2,4,3,6,5,0,0,0,10,5
43,3,5,1,4,4,0,1,2,10,6
44,2,4,2,3,4,1,0,1,11,6
45,1,3,3,4,4,0,1,2,11,7
